customer_id,Recency,Frequency,Monetary,R_rank_norm,F_rank_norm,M_rank_norm,RFM_Score,Customer_segment
C100451,438,2,1572.08,58.71,44.44,61.91,2.83,Low Value Customers
C100459,457,2,707.68,55.16,44.44,37.37,2.1,Low Value Customers
C100463,759,2,4230.3,17.28,44.44,91.24,3.35,Medium Value Customer
C100471,767,1,600.17,16.62,14.65,33.99,1.3,Lost Customers
C100484,453,2,630.46,55.86,44.44,35.5,2.05,Low Value Customers
C100490,561,2,615.85,38.43,44.44,34.87,1.9,Low Value Customers
C100493,374,5,3016.49,72.11,95.22,82.25,4.22,High value Customer
C100494,799,1,900.24,14.26,14.65,40.55,1.47,Lost Customers
C100496,905,3,1007.76,7.53,70.4,44.44,2.31,Low Value Customers
C100507,215,3,1102.25,94.33,70.4,46.14,3.01,Medium Value Customer
C100519,838,4,6000.48,11.57,86.98,97.06,4.07,High value Customer
C100521,31,2,1062.88,99.13,44.44,45.59,2.66,Low Value Customers
C100529,517,3,2145.89,45.04,70.4,71.99,3.38,Medium Value Customer
C100545,336,5,1272.44,81.17,95.22,53.13,3.46,Medium Value Customer
C100551,807,1,600.16,13.72,14.65,32.63,1.24,Lost Customers
C100574,669,2,2436.52,25.64,44.44,76.1,2.98,Low Value Customers
C100599,814,3,218.65,13.21,70.4,22.52,1.73,Low Value Customers
C100605,377,3,3041.46,71.44,70.4,82.73,3.88,Medium Value Customer
C100607,289,1,900.24,88.77,14.65,40.55,2.03,Low Value Customers
C100610,431,2,147.43,60.06,44.44,17.36,1.57,Lost Customers
C100622,386,4,1606.92,69.48,86.98,62.56,3.52,Medium Value Customer
C100625,316,4,4380.32,84.01,86.98,92.01,4.47,High value Customer
C100629,313,5,2360.21,84.75,95.22,73.7,4.07,High value Customer
C100636,579,1,600.16,36.06,14.65,32.63,1.41,Lost Customers
C100671,412,2,1103.54,64.06,44.44,46.24,2.42,Low Value Customers
C100676,707,1,600.17,21.93,14.65,33.99,1.34,Lost Customers
C100684,548,2,4800.16,40.27,44.44,93.45,3.59,Medium Value Customer
C100690,341,3,264.88,79.99,70.4,23.84,2.26,Low Value Customers
C100691,727,2,900.24,20.11,44.44,40.55,1.93,Low Value Customers
C100694,511,2,2100.56,45.99,44.44,70.42,2.97,Low Value Customers
C100696,344,3,92.6,79.25,70.4,13.37,1.96,Low Value Customers
C100697,631,3,1379.53,29.58,70.4,55.33,2.78,Low Value Customers
C100710,321,2,640.82,82.68,44.44,35.89,2.27,Low Value Customers
C100720,661,1,900.24,26.46,14.65,40.55,1.56,Lost Customers
C100725,371,4,4399.25,72.73,86.98,92.07,4.39,High value Customer
C100735,548,1,35.84,40.27,14.65,6.63,0.7,Lost Customers
C100745,864,1,15.69,10.02,14.65,2.79,0.36,Lost Customers
C100746,390,2,310.82,68.61,44.44,26.97,1.91,Low Value Customers
C100760,682,3,3300.91,24.34,70.4,85.47,3.6,Medium Value Customer
C100782,764,1,203.3,16.85,14.65,21.5,0.94,Lost Customers
C100783,517,3,6750.4,45.04,70.4,98.28,4.12,High value Customer
C100787,502,1,600.16,47.37,14.65,32.63,1.49,Lost Customers
C100794,345,2,3000.85,78.99,44.44,81.7,3.54,Medium Value Customer
C100795,400,2,3144.21,66.53,44.44,83.69,3.51,Medium Value Customer
C100816,410,1,143.36,64.44,14.65,16.99,1.17,Lost Customers
C100828,731,2,900.24,19.7,44.44,40.55,1.93,Low Value Customers
C100841,279,2,1523.86,91.67,44.44,60.33,3.03,Medium Value Customer
C100849,1060,1,10.46,0.2,14.65,1.35,0.25,Lost Customers
C100851,847,1,107.52,11.02,14.65,14.26,0.69,Lost Customers
C100852,393,2,69.11,67.94,44.44,10.55,1.43,Lost Customers
C100857,695,3,1800.48,23.0,70.4,65.35,3.02,Medium Value Customer
C100879,876,1,45.45,9.23,14.65,8.37,0.51,Lost Customers
C100885,420,4,5261.02,62.26,86.98,95.0,4.39,High value Customer
C100902,731,1,1500.4,19.7,14.65,57.94,2.0,Low Value Customers
C100910,997,1,300.08,2.84,14.65,25.49,0.95,Lost Customers
C100919,323,1,2400.68,82.2,14.65,74.95,2.96,Low Value Customers
C100921,396,5,3117.21,67.32,95.22,83.5,4.22,High value Customer
C100935,418,2,39.15,62.67,44.44,7.08,1.29,Lost Customers
C100936,153,3,758.67,96.51,70.4,38.08,2.79,Low Value Customers
C100940,274,2,621.08,93.1,44.44,35.05,2.32,Low Value Customers
C100941,385,2,2100.56,69.71,44.44,70.42,3.15,Medium Value Customer
C100952,761,3,3601.01,17.12,70.4,87.64,3.61,Medium Value Customer
C100978,335,3,1521.32,81.44,70.4,60.21,3.31,Medium Value Customer
C100979,495,2,315.77,48.47,44.44,27.2,1.76,Low Value Customers
C100986,616,1,71.68,31.37,14.65,11.01,0.75,Lost Customers
C100994,451,1,4200.0,56.23,14.65,90.42,3.2,Medium Value Customer
C101014,425,2,1079.44,61.28,44.44,45.88,2.39,Low Value Customers
C101034,382,5,2529.08,70.39,95.22,77.2,4.06,High value Customer
C101038,1043,1,1800.51,0.88,14.65,66.2,2.1,Low Value Customers
C101045,416,3,2603.94,63.13,70.4,77.82,3.68,Medium Value Customer
C101055,315,3,2544.0,84.27,70.4,77.26,3.82,Medium Value Customer
C101067,363,5,3454.74,74.68,95.22,86.8,4.37,High value Customer
C101068,1004,1,162.64,2.52,14.65,18.45,0.75,Lost Customers
C101069,369,6,7018.4,73.22,98.47,98.58,4.74,Top Customers
C101071,481,2,1307.84,50.85,44.44,53.87,2.54,Low Value Customers
C101072,694,1,2400.68,23.12,14.65,74.95,2.51,Low Value Customers
C101074,468,2,321.0,53.18,44.44,27.38,1.8,Low Value Customers
C101078,432,5,8276.03,59.86,95.22,99.38,4.61,Top Customers
C101089,712,1,3000.85,21.48,14.65,81.7,2.69,Low Value Customers
C101100,491,3,820.02,49.14,70.4,38.95,2.46,Low Value Customers
C101108,449,1,5.23,56.59,14.65,0.45,0.64,Lost Customers
C101115,704,4,3300.88,22.2,86.98,85.31,3.82,Medium Value Customer
C101116,348,4,1881.8,78.25,86.98,68.09,3.75,Medium Value Customer
C101117,358,5,3480.1,75.92,95.22,86.94,4.38,High value Customer
C101119,837,3,97.21,11.65,70.4,13.58,1.46,Lost Customers
C101120,746,1,143.36,18.37,14.65,16.99,0.83,Lost Customers
C101131,867,3,1581.72,9.8,70.4,62.09,2.83,Low Value Customers
C101132,122,1,5.23,97.34,14.65,0.45,0.95,Lost Customers
C101137,460,3,4523.54,54.64,70.4,92.76,4.04,High value Customer
C101143,335,3,3682.33,81.44,70.4,88.25,4.11,High value Customer
C101188,522,1,2400.68,44.2,14.65,74.95,2.67,Low Value Customers
C101196,676,4,3480.08,24.97,86.98,86.93,3.88,Medium Value Customer
C101206,755,2,1500.4,17.59,44.44,57.94,2.41,Low Value Customers
C101210,497,3,2721.08,48.11,70.4,79.27,3.61,Medium Value Customer
C101217,555,2,3000.84,39.26,44.44,81.35,3.24,Medium Value Customer
C101220,358,4,5707.15,75.92,86.98,96.6,4.54,Top Customers
C101221,552,3,3336.16,39.65,70.4,86.1,3.74,Medium Value Customer
C101227,964,1,600.16,4.44,14.65,32.63,1.17,Lost Customers
C101235,847,1,1200.32,11.02,14.65,48.18,1.66,Low Value Customers
C101238,713,2,3293.36,21.38,44.44,85.14,3.21,Medium Value Customer
C101249,670,3,2141.22,25.55,70.4,71.92,3.23,Medium Value Customer
C101261,215,2,1379.52,94.33,44.44,55.27,2.9,Low Value Customers
C101290,345,4,1591.84,78.99,86.98,62.4,3.59,Medium Value Customer
C101303,435,3,957.62,59.29,70.4,43.57,2.67,Low Value Customers
C101327,744,1,20.92,18.52,14.65,3.72,0.45,Lost Customers
C101329,409,2,61.58,64.63,44.44,10.22,1.4,Lost Customers
C101343,469,5,1338.41,53.02,95.22,54.47,3.28,Medium Value Customer
C101351,213,6,5294.34,94.95,98.47,95.23,4.8,Top Customers
C101363,512,1,600.16,45.82,14.65,32.63,1.48,Lost Customers
C101365,807,2,2482.0,13.72,44.44,76.78,2.91,Low Value Customers
C101367,725,1,1500.4,20.27,14.65,57.94,2.01,Low Value Customers
C101368,723,2,2400.64,20.43,44.44,73.98,2.88,Low Value Customers
C101377,606,1,900.24,32.63,14.65,40.55,1.61,Low Value Customers
C101386,470,2,224.68,52.85,44.44,22.81,1.67,Low Value Customers
C101391,401,2,971.92,66.33,44.44,43.86,2.37,Low Value Customers
C101393,557,2,762.8,39.0,44.44,38.18,2.0,Low Value Customers
C101397,520,5,2287.68,44.53,95.22,73.31,3.76,Medium Value Customer
C101401,893,1,60.6,8.22,14.65,10.0,0.55,Lost Customers
C101405,422,1,81.32,61.86,14.65,12.44,1.02,Lost Customers
C101411,121,3,1836.33,97.64,70.4,67.36,3.64,Medium Value Customer
C101414,453,1,600.16,55.86,14.65,32.63,1.55,Lost Customers
C101422,285,1,1050.0,89.88,14.65,45.23,2.17,Low Value Customers
C101428,465,3,1343.68,53.73,70.4,54.62,2.95,Low Value Customers
C101432,879,2,407.6,9.06,44.44,29.77,1.54,Lost Customers
C101451,415,2,462.72,63.37,44.44,30.51,1.97,Low Value Customers
C101466,281,4,2303.89,91.08,86.98,73.48,4.0,Medium Value Customer
C101472,689,1,143.36,23.63,14.65,16.99,0.87,Lost Customers
C101475,397,2,1800.48,67.09,44.44,65.35,2.99,Low Value Customers
C101509,560,2,479.28,38.58,44.44,30.73,1.79,Low Value Customers
C101521,627,3,1826.65,30.06,70.4,67.17,3.13,Medium Value Customer
C101537,565,3,3408.45,37.85,70.4,86.57,3.74,Medium Value Customer
C101541,757,3,2411.14,17.44,70.4,75.42,3.27,Medium Value Customer
C101543,371,1,15.69,72.73,14.65,2.79,0.83,Lost Customers
C101546,280,5,2672.44,91.36,95.22,78.14,4.25,High value Customer
C101550,1053,1,1200.32,0.44,14.65,48.18,1.58,Lost Customers
C101558,920,1,107.52,6.7,14.65,14.26,0.66,Lost Customers
C101561,511,2,1379.52,45.99,44.44,55.27,2.54,Low Value Customers
C101568,426,2,87.37,61.04,44.44,13.17,1.46,Lost Customers
C101575,344,5,1588.87,79.25,95.22,62.38,3.71,Medium Value Customer
C101576,705,1,900.24,22.11,14.65,40.55,1.53,Lost Customers
C101579,581,3,3300.88,35.77,70.4,85.31,3.69,Medium Value Customer
C101580,837,3,1913.26,11.65,70.4,68.46,3.02,Medium Value Customer
C101594,396,1,900.24,67.32,14.65,40.55,1.87,Low Value Customers
C101618,738,2,3000.8,19.03,44.44,80.99,3.07,Medium Value Customer
C101640,368,1,71.68,73.47,14.65,11.01,1.07,Lost Customers
C101643,348,2,4050.85,78.25,44.44,89.89,3.77,Medium Value Customer
C101652,735,3,722.14,19.32,70.4,37.6,2.2,Low Value Customers
C101657,504,2,112.75,47.03,44.44,14.75,1.4,Lost Customers
C101662,608,1,20.92,32.4,14.65,3.72,0.55,Lost Customers
C101669,443,5,3743.11,57.78,95.22,88.41,4.29,High value Customer
C101672,862,1,600.16,10.16,14.65,32.63,1.21,Lost Customers
C101673,372,5,3600.98,72.54,95.22,87.42,4.37,High value Customer
C101689,757,1,1200.32,17.44,14.65,48.18,1.71,Low Value Customers
C101690,561,4,9054.3,38.43,86.98,99.65,4.35,High value Customer
C101691,697,1,121.98,22.81,14.65,15.47,0.82,Lost Customers
C101695,740,3,1129.74,18.85,70.4,46.55,2.45,Low Value Customers
C101697,512,3,1084.67,45.82,70.4,45.98,2.64,Low Value Customers
C101711,404,5,3627.13,65.71,95.22,87.92,4.33,High value Customer
C101716,354,3,248.75,76.85,70.4,23.51,2.23,Low Value Customers
C101744,243,2,4201.19,94.0,44.44,90.93,3.92,Medium Value Customer
C101747,876,1,1500.4,9.23,14.65,57.94,1.93,Low Value Customers
C101757,1065,1,600.17,0.02,14.65,33.99,1.17,Lost Customers
C101776,423,2,2100.57,61.68,44.44,70.83,3.1,Medium Value Customer
C101779,182,4,1716.12,95.86,86.98,64.49,3.77,Medium Value Customer
C101793,416,5,1638.08,63.13,95.22,63.13,3.61,Medium Value Customer
C101817,432,5,1068.31,59.86,95.22,45.73,3.09,Medium Value Customer
C101818,277,7,8736.99,92.28,99.53,99.58,4.92,Top Customers
C101820,503,1,1500.4,47.21,14.65,57.94,2.21,Low Value Customers
C101822,989,1,600.16,3.24,14.65,32.63,1.16,Lost Customers
C101824,640,2,2700.76,28.63,44.44,79.01,3.09,Medium Value Customer
C101835,666,3,1022.23,25.95,70.4,44.75,2.46,Low Value Customers
C101839,817,4,1958.3,12.98,86.98,68.92,3.28,Medium Value Customer
C101852,275,1,900.24,92.83,14.65,40.55,2.06,Low Value Customers
C101855,31,2,76.5,99.13,44.44,11.82,1.7,Low Value Customers
C101863,489,1,1500.4,49.47,14.65,57.94,2.23,Low Value Customers
C101866,519,3,2303.87,44.72,70.4,73.46,3.41,Medium Value Customer
C101871,245,4,7457.47,93.39,86.98,98.97,4.74,Top Customers
C101883,305,2,121.2,86.83,44.44,14.95,1.7,Low Value Customers
C101897,385,2,1307.84,69.71,44.44,53.87,2.68,Low Value Customers
C101898,1022,1,900.24,1.77,14.65,40.55,1.37,Lost Customers
C101919,392,4,4669.12,68.19,86.98,93.25,4.39,High value Customer
C101949,1043,1,2400.68,0.88,14.65,74.95,2.35,Low Value Customers
C101957,725,3,4055.47,20.27,70.4,89.9,3.7,Medium Value Customer
C101970,716,2,3601.02,21.13,44.44,87.72,3.28,Medium Value Customer
C101989,387,4,3616.69,69.26,86.98,87.85,4.24,High value Customer
C102006,798,1,900.24,14.33,14.65,40.55,1.47,Lost Customers
C102007,308,4,7158.0,86.04,86.98,98.7,4.68,Top Customers
C102008,665,1,1200.32,26.07,14.65,48.18,1.77,Low Value Customers
C102021,769,1,40.66,16.42,14.65,7.57,0.54,Lost Customers
C102030,577,2,190.28,36.32,44.44,20.58,1.48,Lost Customers
C102047,663,2,762.8,26.26,44.44,38.18,1.91,Low Value Customers
C102060,810,3,10050.16,13.49,70.4,99.82,3.93,Medium Value Customer
C102069,565,3,1064.52,37.85,70.4,45.67,2.57,Low Value Customers
C102085,275,4,1282.74,92.83,86.98,53.51,3.44,Medium Value Customer
C102102,742,3,947.81,18.69,70.4,43.49,2.37,Low Value Customers
C102103,647,1,203.3,27.95,14.65,21.5,1.03,Lost Customers
C102113,333,5,1820.86,81.96,95.22,66.92,3.86,Medium Value Customer
C102127,671,2,2243.36,25.47,44.44,72.85,2.89,Low Value Customers
C102136,417,2,284.62,62.89,44.44,24.24,1.78,Low Value Customers
C102138,349,2,76.5,77.98,44.44,11.82,1.54,Lost Customers
C102146,292,2,358.73,87.91,44.44,28.67,2.1,Low Value Customers
C102154,429,1,1500.4,60.44,14.65,57.94,2.31,Low Value Customers
C102162,123,1,11.73,97.05,14.65,1.97,0.99,Lost Customers
C102163,814,1,300.08,13.21,14.65,25.49,1.03,Lost Customers
C102176,92,3,3135.25,97.94,70.4,83.64,4.1,High value Customer
C102179,490,4,3327.07,49.3,86.98,86.02,4.04,High value Customer
C102200,402,4,3306.11,66.13,86.98,85.75,4.16,High value Customer
C102226,426,2,615.85,61.04,44.44,34.87,2.07,Low Value Customers
C102246,340,3,2415.79,80.21,70.4,75.49,3.74,Medium Value Customer
C102259,281,4,1404.51,91.08,86.98,55.82,3.49,Medium Value Customer
C102266,978,1,1500.4,3.71,14.65,57.94,1.88,Low Value Customers
C102275,396,4,1104.2,67.32,86.98,46.33,3.04,Medium Value Customer
C102277,761,2,39.15,17.12,44.44,7.08,0.95,Lost Customers
C102285,689,3,1151.9,23.63,70.4,46.73,2.49,Low Value Customers
C102287,649,1,30.3,27.73,14.65,5.64,0.57,Lost Customers
C102289,764,1,60.6,16.85,14.65,10.0,0.62,Lost Customers
C102293,562,2,107.52,38.29,44.44,14.58,1.32,Lost Customers
C102294,244,2,3601.0,93.69,44.44,87.53,3.82,Medium Value Customer
C102301,437,7,9041.97,58.9,99.53,99.65,4.68,Top Customers
C102302,585,2,3293.36,35.28,44.44,85.14,3.31,Medium Value Customer
C102305,438,3,4801.33,58.71,70.4,93.59,4.09,High value Customer
C102313,1027,1,3000.85,1.57,14.65,81.7,2.55,Low Value Customers
C102328,292,5,3805.19,87.91,95.22,88.78,4.52,Top Customers
C102332,869,2,1200.32,9.64,44.44,48.18,2.07,Low Value Customers
C102342,978,2,2441.34,3.71,44.44,76.23,2.82,Low Value Customers
C102346,441,2,2400.64,58.14,44.44,73.98,3.17,Medium Value Customer
C102353,471,4,2716.32,52.65,86.98,79.21,3.87,Medium Value Customer
C102355,720,2,1500.4,20.73,44.44,57.94,2.43,Low Value Customers
C102357,846,1,15.69,11.09,14.65,2.79,0.37,Lost Customers
C102358,620,3,692.76,30.83,70.4,37.17,2.28,Low Value Customers
C102359,698,5,3933.74,22.72,95.22,89.51,4.05,High value Customer
C102366,512,2,779.36,45.82,44.44,38.44,2.06,Low Value Customers
C102369,342,2,1210.78,79.75,44.44,50.45,2.66,Low Value Customers
C102372,686,1,71.68,23.93,14.65,11.01,0.7,Lost Customers
C102398,383,3,2100.56,70.18,70.4,70.42,3.52,Medium Value Customer
C102406,627,1,162.64,30.06,14.65,18.45,0.96,Lost Customers
C102408,663,1,203.3,26.26,14.65,21.5,1.01,Lost Customers
C102416,514,2,2100.56,45.49,44.44,70.42,2.97,Low Value Customers
C102420,391,2,41.07,68.41,44.44,8.06,1.36,Lost Customers
C102425,438,3,5700.42,58.71,70.4,96.51,4.18,High value Customer
C102429,568,1,600.16,37.46,14.65,32.63,1.42,Lost Customers
C102454,284,1,300.08,90.19,14.65,25.49,1.61,Low Value Customers
C102455,483,1,300.08,50.47,14.65,25.49,1.31,Lost Customers
C102456,472,5,6288.4,52.46,95.22,97.56,4.51,Top Customers
C102477,834,2,1281.64,11.85,44.44,53.36,2.23,Low Value Customers
C102478,983,2,681.48,3.47,44.44,36.95,1.7,Low Value Customers
C102489,184,5,961.82,95.26,95.22,43.69,3.29,Medium Value Customer
C102495,277,5,5259.08,92.28,95.22,94.98,4.73,Top Customers
C102500,548,1,162.64,40.27,14.65,18.45,1.03,Lost Customers
C102503,874,1,900.24,9.35,14.65,40.55,1.43,Lost Customers
C102508,338,2,1235.51,80.66,44.44,51.79,2.7,Low Value Customers
C102522,482,2,1800.51,50.66,44.44,65.91,2.88,Low Value Customers
C102524,342,3,386.83,79.75,70.4,29.44,2.42,Low Value Customers
C102527,303,4,3455.9,87.36,86.98,86.81,4.35,High value Customer
C102543,624,6,4003.6,30.37,98.47,89.73,4.16,High value Customer
C102544,387,2,2100.58,69.26,44.44,70.93,3.16,Medium Value Customer
C102547,31,3,1638.07,99.13,70.4,63.12,3.53,Medium Value Customer
C102554,812,1,2400.68,13.35,14.65,74.95,2.44,Low Value Customers
C102558,604,1,10.46,32.87,14.65,1.35,0.49,Lost Customers
C102559,676,2,3076.6,24.97,44.44,83.17,3.18,Medium Value Customer
C102566,378,2,126.77,71.24,44.44,16.01,1.61,Low Value Customers
C102567,335,2,958.89,81.44,44.44,43.61,2.48,Low Value Customers
C102571,438,3,1825.68,58.71,70.4,67.09,3.34,Medium Value Customer
C102575,458,2,202.66,54.99,44.44,20.94,1.63,Low Value Customers
C102587,495,3,2531.66,48.47,70.4,77.21,3.55,Medium Value Customer
C102588,277,7,6367.04,92.28,99.53,97.75,4.87,Top Customers
C102604,451,5,1196.6,56.23,95.22,46.92,3.09,Medium Value Customer
C102606,436,2,900.24,59.09,44.44,40.55,2.22,Low Value Customers
C102625,692,1,203.3,23.31,14.65,21.5,0.99,Lost Customers
C102641,427,1,179.2,60.81,14.65,19.82,1.23,Lost Customers
C102642,498,3,3601.0,47.97,70.4,87.53,3.84,Medium Value Customer
C102646,376,1,600.16,71.68,14.65,32.63,1.67,Low Value Customers
C102656,492,3,371.17,48.99,70.4,28.92,2.18,Low Value Customers
C102664,615,3,526.84,31.5,70.4,31.25,2.11,Low Value Customers
C102665,529,5,5401.47,43.13,95.22,95.65,4.38,High value Customer
C102672,243,2,203.3,94.0,44.44,21.5,1.94,Low Value Customers
C102678,599,2,345.53,33.45,44.44,28.39,1.68,Low Value Customers
C102679,339,2,2400.64,80.42,44.44,74.26,3.34,Medium Value Customer
C102685,666,2,1236.16,25.95,44.44,51.9,2.3,Low Value Customers
C102688,568,2,6300.0,37.46,44.44,97.57,3.68,Medium Value Customer
C102692,443,2,4500.68,57.78,44.44,92.36,3.69,Medium Value Customer
C102696,944,2,31.38,5.43,44.44,5.93,0.83,Lost Customers
C102697,787,2,1810.97,15.06,44.44,66.69,2.64,Low Value Customers
C102713,320,1,900.24,82.94,14.65,40.55,1.98,Low Value Customers
C102715,469,3,218.55,53.02,70.4,22.51,2.02,Low Value Customers
C102717,340,2,1922.49,80.21,44.44,68.6,3.18,Medium Value Customer
C102732,477,4,2700.72,51.55,86.98,78.32,3.84,Medium Value Customer
C102760,728,1,600.16,20.01,14.65,32.63,1.29,Lost Customers
C102761,340,1,3150.0,80.21,14.65,83.87,3.2,Medium Value Customer
C102765,214,3,1922.48,94.65,70.4,68.57,3.65,Medium Value Customer
C102767,458,3,2560.86,54.99,70.4,77.43,3.6,Medium Value Customer
C102774,862,1,143.36,10.16,14.65,16.99,0.77,Lost Customers
C102775,504,2,92.6,47.03,44.44,13.37,1.36,Lost Customers
C102777,705,1,1050.0,22.11,14.65,45.23,1.66,Low Value Customers
C102783,373,3,2844.08,72.33,70.4,80.2,3.81,Medium Value Customer
C102793,379,3,4535.92,71.02,70.4,92.8,4.16,High value Customer
C102798,425,3,4686.24,61.28,70.4,93.28,4.1,High value Customer
C102799,551,1,121.98,39.82,14.65,15.47,0.94,Lost Customers
C102817,904,1,143.36,7.6,14.65,16.99,0.75,Lost Customers
C102827,540,2,610.62,41.54,44.44,34.54,1.92,Low Value Customers
C102829,519,3,5993.52,44.72,70.4,97.05,4.09,High value Customer
C102839,459,4,2334.88,54.82,86.98,73.6,3.73,Medium Value Customer
C102846,309,5,3362.02,85.77,95.22,86.31,4.44,High value Customer
C102849,749,2,2100.56,18.14,44.44,70.42,2.77,Low Value Customers
C102860,695,2,2100.59,23.0,44.44,71.03,2.82,Low Value Customers
C102869,540,1,179.2,41.54,14.65,19.82,1.08,Lost Customers
C102873,320,2,239.14,82.94,44.44,23.24,1.91,Low Value Customers
C102876,360,6,2158.01,75.45,98.47,72.12,4.0,Medium Value Customer
C102884,637,2,184.02,28.92,44.44,20.29,1.42,Lost Customers
C102905,279,3,192.97,91.67,70.4,20.64,2.26,Low Value Customers
C102913,810,2,2446.13,13.49,44.44,76.3,2.9,Low Value Customers
C102921,429,5,5187.97,60.44,95.22,94.56,4.48,High value Customer
C102931,660,4,1525.6,26.56,86.98,60.39,3.14,Medium Value Customer
C102940,466,3,2705.95,53.54,70.4,79.08,3.64,Medium Value Customer
C102948,454,3,2758.81,55.7,70.4,79.68,3.67,Medium Value Customer
C102970,520,2,707.68,44.53,44.44,37.37,2.02,Low Value Customers
C102986,321,2,31.38,82.68,44.44,5.86,1.41,Lost Customers
C102989,624,1,900.24,30.37,14.65,40.55,1.59,Lost Customers
C102990,516,3,300.31,45.19,70.4,26.52,2.08,Low Value Customers
